지점,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28,2017-05-29,2017-05-30,2017-05-31
의정부시,68,59,56,52,131,67,108,95,47,59,60,53,55,65,33,29,33,33,31,30,32,34,32,35,34,42,44,43,46,57
이천시,96,94,78,67,235,103,164,127,40,83,87,60,66,48,48,47,55,61,45,33,45,41,30,48,27,42,55,77,75,50
파주시,110,75,72,52,224,98,186,148,51,75,88,61,61,40,41,36,55,54,41,39,52,40,29,43,30,39,52,77,52,42
파주시,118,86,83,59,257,107,202,155,57,76,88,64,67,44,42,42,59,59,45,39,52,43,30,65,30,42,57,395,44,39
평택시,149,101,96,73,265,126,201,122,46,101,85,71,73,47,50,61,75,75,49,46,52,52,49,59,33,42,63,93,88,56
평택시,140,91,90,71,298,142,221,105,45,86,74,67,72,47,42,50,62,67,45,42,49,50,34,54,30,36,59,70,61,45
평택시,147,106,104,76,309,151,237,114,52,93,88,74,82,56,52,64,89,78,54,54,60,65,49,68,44,52,69,84,67,59
포천시,77,69,56,46,163,72,122,129,39,62,78,47,43,29,31,33,44,44,38,30,44,34,25,29,22,28,46,72,57,39
하남시,94,76,64,57,186,83,139,117,39,69,75,50,55,47,48,41,48,51,43,34,46,38,29,39,26,36,46,70,60,34
화성시,128,84,87,67,245,117,201,101,41,85,89,73,68,47,45,54,61,68,51,38,50,51,38,64,35,42,54,74,67,53
화성시,121,91,78,67,252,113,203,118,45,82,77,59,68,53,49,54,55,49,41,35,43,41,31,43,34,39,47,60,55,44
화성시,142,96,86,68,267,131,213,114,51,99,102,73,72,51,51,62,66,73,56,43,52,52,48,65,36,49,65,90,74,52
