DATE1,LOC,LOC_1,a_pm10,a_pm25
20160104,Gyeonggi-do,수원시,83.8735,43.9306
20160104,Gyeonggi-do,시흥시,77.3235,0.0000
20160104,Gyeonggi-do,안산시,82.0423,45.2254
20160104,Gyeonggi-do,안성시,80.0417,0.0000
20160104,Gyeonggi-do,안양시,78.3875,0.0000
20160104,Gyeonggi-do,양주시,98.8750,0.0000
20160104,Gyeonggi-do,양평군,84.3333,47.5417
20160104,Gyeonggi-do,여주시,71.9333,0.0000
20160104,Gyeonggi-do,연천군,95.4167,0.0000
20160104,Gyeonggi-do,오산시,86.5417,0.0000
20160104,Gyeonggi-do,용인시,80.8750,47.5833
20160104,Gyeonggi-do,의왕시,73.9375,36.4167
20160104,Gyeonggi-do,의정부시,78.8636,83.2000
20160104,Gyeonggi-do,이천시,93.0208,0.0000
20160104,Gyeonggi-do,파주시,82.2083,0.0000
20160104,Gyeonggi-do,평택시,105.2254,0.0000
20160104,Gyeonggi-do,포천시,93.8750,0.0000
20160104,Gyeonggi-do,하남시,95.7500,41.5833
20160104,Gyeonggi-do,화성시,91.7879,0.0000
20160104,Gyeongsangnam-do,거제시,53.9792,66.7500
20160104,Gyeongsangnam-do,거창군,74.1250,0.0000
20160104,Gyeongsangnam-do,김해시,68.1860,44.1667
20160104,Gyeongsangnam-do,사천시,78.7500,39.3750
20160104,Gyeongsangnam-do,양산시,78.1042,56.7083
